"Date","Samsung","Apple","Xiaomi"
"2017-01","25.21","19.49","4.17"
"2017-02","25.05","20.94","4.63"
"2017-03","24.96","20.72","5.04"
"2017-04","25.23","21.38","5.5"
"2017-05","25.04","21.55","5.88"
"2017-06","24.66","20.19","6.09"
"2017-07","25","20.05","6.94"
"2017-08","25.39","20.91","7.81"
"2017-09","26.84","19.79","8.01"
"2017-10","25.99","19.76","9.25"
"2017-11","25.27","20.01","10.62"
"2017-12","24.76","19.61","10.42"
"2018-01","24.84","19.11","11.54"
"2018-02","24.64","19.07","12.44"
"2018-03","23.74","18.15","11.79"
"2018-04","24.53","19.23","13.82"
"2018-05","24.42","18.85","14.54"
"2018-06","24.31","18.08","15.6"
"2018-07","24.9","16.44","16.84"
"2018-08","23.84","17.7","16.7"
"2018-09","24.42","18.95","17.48"